strain	accession	date	region	country	division	city
V684	KR534517	2014-08-20	Subsaharan Africa	Guinea	Conakry	Conakry
G5685.1	KR105317	2014-09-13	Subsaharan Africa	Sierra Leone	Kenema	Kenema
REDC_GUI_2015_00545	REDC_GUI_2015_00545	2015-07-15	Subsaharan Africa	Guinea	Conakry	Conakry
V20141227	KR653303	2014-09-26	Subsaharan Africa	Sierra Leone	Bo	Bo
389_EMLH	KU296593	2015-01-23	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK0384	KU296628	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G3814	KM233089	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_079422	KR817187	2014-03-27	Subsaharan Africa	Guinea	Macenta	Macenta
731_EMLH	KU296765	2015-02-11	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0038	KP759618	2014-09-30	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
KT5243	KU296736	2015-02-22	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V1027	KR534577	2014-09-18	Subsaharan Africa	Guinea	Conakry	Conakry
EM_FORE_2015_695	EM_FORE_2015_695	2015-06-07	Subsaharan Africa	Guinea	Forecariah	Forecariah
V20142843	KR653301	2014-10-23	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_000028	KR817069	2014-09-01	Subsaharan Africa	Guinea	Macenta	Macenta
LIBR10252	KT725266	2014-09-15	Subsaharan Africa	Liberia	Grand Kru	Grand Kru
G3707	KM233049	2014-05-31	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0052	KP759720	2014-10-08	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR0092	KR006946	2014-11-08	Subsaharan Africa	Liberia	Montserrado	Montserrado
LIBR10021	KT725335	2014-08-18	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10081	KT725339	2014-08-26	Subsaharan Africa	Liberia	Margibi	Margibi
77724_EMLK	KU296656	2015-01-10	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
IPDPFHguineaSP_GUI_2015_6505	IPDPFHguineaSP_GUI_2015_6505	2015-05-03	Subsaharan Africa	Guinea	Forecariah	Forecariah
G6060.1	KR105342	2014-09-25	Subsaharan Africa	Sierra Leone	Pujehun	Pujehun
EM_004494	KR817101	2015-01-14	Subsaharan Africa	Guinea	Faranah	Faranah
KG80	KG80	2015-06-18	Subsaharan Africa	Guinea	Boke	Boke
KT4553	KU296698	2015-01-29	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G5723.1	KR105319	2014-09-15	Subsaharan Africa	Sierra Leone	Bonthe	Bonthe
EM_078694	KR817171	2014-12-14	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
EM_080165	KR817238	2014-06-26	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G4751.1	KR105271	2014-08-05	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V1454	KR534560	2014-10-14	Subsaharan Africa	Guinea	Conakry	Conakry
G4325.1	KR105234	2014-07-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK2383	KU296583	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_079657	KR817205	2014-05-07	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
DML12239	KT357820	2015-03-09	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
77670_EMLK	KU296329	2015-01-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3787	KM233074	2014-06-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_074349	KR817108	2014-07-22	Subsaharan Africa	Liberia	Lofa	Lofa
V1340	KR534551	2014-10-08	Subsaharan Africa	Guinea	Conakry	Conakry
LIBR0279	KT725280	2014-11-22	Subsaharan Africa	Liberia	Liberia	Liberia
G4251.1	KR105223	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0036	KP759694	2014-10-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G4996.1	KR105290	2014-08-15	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0100	KP759655	2014-10-26	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G4701.1	KR105264	2014-08-03	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_000321	KR817074	2014-09-09	Subsaharan Africa	Guinea	Macenta	Macenta
EM_COY_2015_016483	EM_COY_2015_016483	2015-05-13	Subsaharan Africa	Guinea	Boke	Boke
DML12137	KT357819	2015-02-28	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
CON-10193	CON-10193	2015-08-03	Subsaharan Africa	Guinea	Conakry	Conakry
G3845.2	KR105201	2014-06-19	Subsaharan Africa	Sierra Leone	Kenema	Kenema
PL8429	KU296440	2015-06-24	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
KT5224	KU296383	2015-02-21	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
KT5786	KU296590	2015-03-07	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL7053	KU296757	2015-05-15	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK2826	KU296405	2015-03-08	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR10082	KT725300	2014-08-26	Subsaharan Africa	Liberia	Margibi	Margibi
PL4283	KU296840	2015-03-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_FORE_2015_1023	EM_FORE_2015_1023	2015-06-29	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_074351	KR817110	2014-07-22	Subsaharan Africa	Liberia	Lofa	Lofa
J0074	KP759739	2014-10-13	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_000015	KR817067	2014-09-01	Subsaharan Africa	Guinea	Macenta	Macenta
DML24611	KT357839	2015-01-21	Subsaharan Africa	Sierra Leone	Kono	Kono
LIBR10217	KT725323	2014-09-29	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10029	KT725348	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
DML24706	KT357844	2015-01-28	Subsaharan Africa	Sierra Leone	Kono	Kono
LIBR10092	KT725380	2014-08-17	Subsaharan Africa	Liberia	Liberia	Liberia
G3841	KM233107	2014-06-17	Subsaharan Africa	Sierra Leone	Bo	Bo
IPDPFHguineaSP_GUI_2015_5038	IPDPFHguineaSP_GUI_2015_5038	2015-04-01	Subsaharan Africa	Guinea	Conakry	Conakry
EM_COY_2015_015815	EM_COY_2015_015815	2015-04-14	Subsaharan Africa	Guinea	Fria	Fria
V1374	KR534556	2014-10-10	Subsaharan Africa	Guinea	Coyah	Coyah
V740	KR534520	2014-08-26	Subsaharan Africa	Guinea	Conakry	Conakry
MK1079	KU296815	2015-01-11	Subsaharan Africa	Sierra Leone	Bombali	Bombali
KT4730	KU296416	2015-02-07	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
LIBR10088	KT725349	2014-08-26	Subsaharan Africa	Liberia	Montserrado	Montserrado
J0063	KP759638	2014-10-10	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10239	KT725324	2014-07-19	Subsaharan Africa	Liberia	Liberia	Liberia
J0050	KP759719	2014-10-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10014	KT725390	2014-08-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_076610	KR817153	2014-11-03	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
V20143018	KR653272	2014-10-26	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G4702.1	KR105265	2014-08-03	Subsaharan Africa	Sierra Leone	Kenema	Kenema
10455_EMLK	KU296388	2015-02-12	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR0114	KT725273	2014-11-10	Subsaharan Africa	Liberia	Grand Bassa	Grand Bassa
MK0533	KU296436	2014-12-26	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_FORE_2015_1140	EM_FORE_2015_1140	2015-07-03	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_000706	KR817079	2014-09-21	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
EM_079423	KR817188	2014-03-27	Subsaharan Africa	Guinea	Macenta	Macenta
75674_EMLH	KU296350	2015-01-13	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0146	KP759610	2014-11-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0109	KP759594	2014-10-31	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK0425	KU296379	2014-12-23	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0049	KP759717	2014-10-07	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V1652	KR534571	2014-10-24	Subsaharan Africa	Guinea	Coyah	Coyah
LIBR10279	KT725341	2014-08-26	Subsaharan Africa	Liberia	Montserrado	Montserrado
V1215	KR534584	2014-10-02	Subsaharan Africa	Guinea	Conakry	Conakry
PL4194	KU296501	2015-03-02	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
12934_EMLH	KU296790	2015-05-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004438	KR817099	2015-01-04	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
G5640.1	KR105313	2014-09-11	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V20142417	KR653254	2014-10-19	Subsaharan Africa	Sierra Leone	Bo	Bo
G5756.1	KR105324	2014-09-18	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G5983.1	KR105333	2014-09-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_COY_2015_016236	EM_COY_2015_016236	2015-05-03	Subsaharan Africa	Guinea	Forecariah	Forecariah
G5119.1	KR105300	2014-08-24	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V1121	KR534536	2014-09-25	Subsaharan Africa	Guinea	Conakry	Conakry
PL2101	KU296714	2015-01-18	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10144	KT725271	2014-09-20	Subsaharan Africa	Liberia	Liberia	Liberia
J0057	KP759635	2014-10-05	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G3770	KM233069	2014-06-12	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0136	KP759684	2014-11-01	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G5997.1	KR105338	2014-09-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V20142856	KR653302	2014-10-24	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
V1480	KR534561	2014-10-15	Subsaharan Africa	Guinea	Conakry	Conakry
IPDPFHguineaSP_GUI_2015_7070	IPDPFHguineaSP_GUI_2015_7070	2015-05-18	Subsaharan Africa	Guinea	Forecariah	Forecariah
LIBR10250	KT725360	2014-06-23	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10087	KT725346	2014-08-26	Subsaharan Africa	Liberia	Margibi	Margibi
77526_EMLK	KU296824	2014-12-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0040	KP759629	2014-10-04	Subsaharan Africa	Sierra Leone	Western Area	Western Area
EM_079915	KR817226	2014-06-10	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
15543_EMLK	KU296666	2015-06-22	Subsaharan Africa	Sierra Leone	Kambia	Kambia
LIBR10103	KT725338	2014-08-20	Subsaharan Africa	Liberia	Nimba	Nimba
V20143466	KR653304	2014-11-01	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK0607	KU296335	2014-12-28	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V742	KR534587	2014-08-26	Subsaharan Africa	Guinea	Conakry	Conakry
DML24605	KT357836	2015-01-20	Subsaharan Africa	Sierra Leone	Kono	Kono
DML24677	KT357842	2015-01-25	Subsaharan Africa	Sierra Leone	Kono	Kono
705_EMLH	KU296683	2015-02-09	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V20141043	KR653305	2014-09-21	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
V1371	KR534555	2014-10-10	Subsaharan Africa	Guinea	Conakry	Conakry
KT4663	KU296570	2015-02-03	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
LIBR10022	KT725378	2014-08-16	Subsaharan Africa	Liberia	Liberia	Liberia
J0083	KP759752	2014-10-18	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0167	KP759624	2014-11-08	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0043	KP759712	2014-10-04	Subsaharan Africa	Sierra Leone	Western Area	Western Area
12600_EMLH	KU296449	2015-03-21	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
77581_EMLK	KU296540	2015-01-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0129	KP759600	2014-11-02	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR0624	KR006959	2014-12-22	Subsaharan Africa	Liberia	Montserrado	Montserrado
KT4631	KU296607	2015-02-02	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
DML12260	KT357821	2015-03-09	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3889.1	KR105205	2014-06-19	Subsaharan Africa	Sierra Leone	Kenema	Kenema
PL4125	KU296471	2015-02-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_COY_2015_017664	EM_COY_2015_017664	2015-06-12	Subsaharan Africa	Guinea	Dubreka	Dubreka
EM_080213	KR817240	2014-07-03	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10238	KT725322	2014-07-18	Subsaharan Africa	Liberia	Liberia	Liberia
EM_076322	KR817145	2014-10-22	Subsaharan Africa	Guinea	Macenta	Macenta
PL5001	KU296514	2015-03-19	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
18636_EMLH	KU296460	2015-07-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
LIBR0058	KR006940	2014-11-05	Subsaharan Africa	Liberia	Rivercess	Rivercess
V20144837	KR653259	2014-11-14	Subsaharan Africa	Sierra Leone	Bombali	Bombali
MK0434	KU296554	2014-12-23	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_080065	KR817232	2014-06-20	Subsaharan Africa	Liberia	Liberia	Liberia
15323_EMLK	KU296668	2015-06-07	Subsaharan Africa	Sierra Leone	Kambia	Kambia
REDC_GUI_2015_01408	REDC_GUI_2015_01408	2015-09-01	Subsaharan Africa	Guinea	Conakry	Conakry
KG87	KG87	2015-06-19	Subsaharan Africa	Guinea	Boke	Boke
V531	KR534510	2014-07-27	Subsaharan Africa	Guinea	Kouroussa	Kouroussa
14888_EMLK	KU296423	2015-05-03	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G4337.1	KR105238	2014-07-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_079514	KR817197	2014-04-10	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
V20143415	KR653248	2014-10-31	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
14748_EML	KU296769	2015-04-19	Subsaharan Africa	Sierra Leone	Kambia	Kambia
77615_EMLK	KU296706	2015-01-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V789	KR534523	2014-08-29	Subsaharan Africa	Guinea	Dubreka	Dubreka
V20141960	KR653283	2014-10-09	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
MK0849	KU296323	2015-01-05	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G4324.1	KR105233	2014-07-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
Makona-UK1.1	KP184503	2014-08-25	Subsaharan Africa	Sierra Leone	Kenema	Kenema
PL4126	KU296478	2015-02-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK3050	KU296445	2015-03-14	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
12579_EMLH	KU296548	2015-03-20	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL5099	KU296682	2015-03-19	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0010	KP759639	2014-09-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
DML24506	KT357827	2015-01-14	Subsaharan Africa	Sierra Leone	Kono	Kono
J0045	KP759714	2014-10-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK2334	KU296366	2015-02-23	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR10074	KT725325	2014-09-20	Subsaharan Africa	Liberia	Liberia	Liberia
PL7451	KU296837	2015-05-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0059	KP759725	2014-10-08	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10132	KT725255	2014-09-08	Subsaharan Africa	Liberia	Margibi	Margibi
LIBR10110	KT725387	2014-08-20	Subsaharan Africa	Liberia	Liberia	Liberia
G3808	KM233085	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_076769	KR817155	2014-11-08	Subsaharan Africa	Guinea	Kerouane	Kerouane
J0141	KP759689	2014-11-04	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G4717.1	KR105266	2014-08-04	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK2825	KU296402	2015-03-08	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0126	KP759675	2014-10-31	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK0393	KU296496	2014-12-22	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_074335	KR817107	2014-07-18	?	?	?	?
J0130	KP759679	2014-11-02	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0078	KP759746	2014-10-18	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_074439	KR817119	2014-08-01	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
EM_FORE_2015_1313	EM_FORE_2015_1313	2015-07-10	Subsaharan Africa	Guinea	Forecariah	Forecariah
LIBR0168	KR006949	2014-11-13	Subsaharan Africa	Liberia	Bomi	Bomi
V20141429	KR653260	2014-09-28	Subsaharan Africa	Sierra Leone	Kono	Kono
EM_079517	KR817198	2014-04-11	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
KT5832	KU296493	2015-03-10	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
18638R_EMLH	KU296348	2015-07-08	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10262	KT725285	2014-10-16	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_COY_2015_014102	EM_COY_2015_014102	2015-03-26	Subsaharan Africa	Guinea	Conakry	Conakry
LIBR0423	KR006954	2014-12-03	Subsaharan Africa	Liberia	Montserrado	Montserrado
G3917.1	KR105207	2014-06-21	Subsaharan Africa	Sierra Leone	Kenema	Kenema
G5985.1	KR105334	2014-09-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_076533	KR817151	2014-11-01	Subsaharan Africa	Guinea	Macenta	Macenta
EM_074822	KR817128	2014-08-17	Subsaharan Africa	Liberia	Lofa	Lofa
KT5734	KU296595	2015-03-06	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G3807	KM233084	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
MK2710	KU296703	2015-03-05	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V1561	KR534563	2014-10-19	Subsaharan Africa	Guinea	Conakry	Conakry
77706_EMLK	KU296572	2015-01-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0118	KP759598	2014-10-31	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10241	KT725262	2014-06-25	Subsaharan Africa	Liberia	Liberia	Liberia
V1321	KR534547	2014-10-07	Subsaharan Africa	Guinea	Coyah	Coyah
MK2255	KU296648	2015-02-21	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V201403007	KP178538	2014-08-03	Subsaharan Africa	Liberia	Liberia	Liberia
J0039	KP759620	2014-10-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_COY_2015_017788	EM_COY_2015_017788	2015-06-16	Subsaharan Africa	Guinea	Dubreka	Dubreka
KT2641	KU296709	2014-12-12	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
REDC_GUI_2015_02242	REDC_GUI_2015_02242	2015-10-24	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_079450	KR817194	2014-04-01	Subsaharan Africa	Liberia	Liberia	Liberia
15000_EMLK	KU296504	2015-05-13	Subsaharan Africa	Sierra Leone	Kambia	Kambia
77676_EMLK	KU296309	2015-01-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
18647_EMLH	KU296566	2015-07-09	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V976	KR534525	2014-09-14	Subsaharan Africa	Guinea	Conakry	Conakry
V20142407	KR653249	2014-10-16	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
EM_074392	KR817115	2014-07-25	Subsaharan Africa	Liberia	Liberia	Liberia
DML14077	KT357860	2015-06-30	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
13247_EMLH	KU296830	2015-06-19	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
14750_EML	KU296459	2015-04-20	Subsaharan Africa	Sierra Leone	Kambia	Kambia
PL4569	KU296598	2015-03-10	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G4200.1	KR105217	2014-07-08	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20141497	KR653273	2014-10-01	Subsaharan Africa	Sierra Leone	Bombali	Bombali
77580_EMLK	KU296431	2015-01-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
10415_EMLK	KU296741	2015-02-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0053	KP759721	2014-10-06	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
J0135	KP759602	2014-11-03	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G4942.1	KR105279	2014-08-12	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
EM_079983	KR817227	2014-06-13	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR10230	KT725354	2014-09-26	Subsaharan Africa	Liberia	Montserrado	Montserrado
MK0390	KU296398	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR10037	KT725311	2014-08-10	Subsaharan Africa	Liberia	Liberia	Liberia
PL4651	KU296841	2015-03-12	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G6095.1	KR105347	2014-09-27	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
PL4886	KU296461	2015-03-16	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK2397	KU296444	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
12872_EMLH	KU296560	2015-04-18	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3789	KM233076	2014-06-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V20143164	KR653277	2014-10-27	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V1210	KR534539	2014-10-02	Subsaharan Africa	Guinea	Conakry	Conakry
EM_COY_2015_015972	EM_COY_2015_015972	2015-04-20	Subsaharan Africa	Guinea	Forecariah	Forecariah
G4433.1	KR105254	2014-07-20	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_000921	KR817081	2014-09-29	Subsaharan Africa	Guinea	Macenta	Macenta
LIBR0503	KR006956	2014-12-10	Subsaharan Africa	Liberia	Sinoe	Sinoe
PL4443	KU296418	2015-03-07	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
473_EMLH	KU296524	2015-01-29	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
LIBR10036	KT725299	2014-08-10	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10026	KT725344	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
PL5133	KU296489	2015-03-21	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20140038	KR653267	2014-08-23	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
EM_076472	KR817150	2014-10-29	Subsaharan Africa	Guinea	Macenta	Macenta
G3677	KM034556	2014-05-26	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
020380_EMLK	KU296775	2015-08-28	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_080076	KR817235	2014-06-22	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
V20144865	KR653231	2014-11-13	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK2938	KU296771	2015-03-11	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G3752	KM233061	2014-06-10	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V1355	KR534553	2014-10-09	Subsaharan Africa	Guinea	Coyah	Coyah
G5617.1	KR105312	2014-09-10	Subsaharan Africa	Sierra Leone	Kenema	Kenema
18687R_EMLH	KU296650	2015-07-12	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0001	KP759636	2014-09-27	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
V1648	KR534569	2014-10-23	Subsaharan Africa	Guinea	Kindia	Kindia
PL4865	KU296633	2015-03-16	Subsaharan Africa	Sierra Leone	Kambia	Kambia
V20146578	KR653281	2014-12-26	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
J0003	KP759651	2014-09-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10202	KT725356	2014-08-27	Subsaharan Africa	Liberia	Montserrado	Montserrado
MK0379	KU296480	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
PL8172	KU296428	2015-06-18	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10040	KT725314	2014-08-04	Subsaharan Africa	Liberia	Liberia	Liberia
MK0085	KU296738	2014-12-10	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G4380.1	KR105243	2014-07-15	Subsaharan Africa	Sierra Leone	Kenema	Kenema
J0106	KP759767	2014-10-28	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10052	KT725258	2014-10-01	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10204	KT725281	2014-08-27	Subsaharan Africa	Liberia	Liberia	Liberia
PL6656	KU296523	2015-05-01	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
KT5034	KU296632	2015-02-14	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3680	KM034559	2014-05-28	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V1213	KR534583	2014-10-02	Subsaharan Africa	Guinea	Conakry	Conakry
G3850	KM233111	2014-06-18	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
DML24669	KT357841	2015-01-25	Subsaharan Africa	Sierra Leone	Kono	Kono
V20145835	KR653295	2014-11-25	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
518_EMLH	KU296747	2015-02-02	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL4736	KU296724	2015-03-13	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_076192	KR817142	2014-10-18	Subsaharan Africa	Guinea	Macenta	Macenta
12578_EMLH	KU296307	2015-03-20	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_078654	KR817167	2014-12-09	Subsaharan Africa	Guinea	Macenta	Macenta
14687_EMLK	KU296443	2015-02-21	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3823	KM233097	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
