strain	accession	date	region	country	division	city
442_EMLH	KU296375	2015-01-26	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM113	KM233040	2014-06-03	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_COY_2015_017666	EM_COY_2015_017666	2015-06-12	Subsaharan Africa	Guinea	Dubreka	Dubreka
G5304.1	KR105304	2014-08-28	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK0367	KU296770	2014-12-21	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR0176	KR006951	2014-11-14	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM120	KM233043	2014-06-03	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0015	KP759741	2014-09-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V786	KR534521	2014-08-28	Subsaharan Africa	Guinea	Conakry	Conakry
MK2307	KU296536	2015-02-23	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3686	KM034562	2014-05-28	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V20140872	KR653297	2014-09-15	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V20143107	KR653247	2014-10-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR10078	KT725297	2014-08-26	Subsaharan Africa	Liberia	Grand Bassa	Grand Bassa
EM095	KM034550	2014-05-25	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
KT4054	KU296429	2015-01-13	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK8878	KU296684	2015-07-23	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
J0033	KP759692	2014-10-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
DML12194	KT357818	2015-03-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_FORE_2015_1024	EM_FORE_2015_1024	2015-06-29	Subsaharan Africa	Guinea	Forecariah	Forecariah
LIBR10008	KT725316	2014-08-21	Subsaharan Africa	Liberia	Liberia	Liberia
V1104	KR534533	2014-09-24	Subsaharan Africa	Guinea	Dalaba	Dalaba
MK2656	KU296577	2015-03-03	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
J0029	KP759688	2014-09-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR0286	KR006952	2014-11-22	Subsaharan Africa	Liberia	Grand Cape Mount	Grand Cape Mount
DML25180	KT357855	2015-02-23	Subsaharan Africa	Sierra Leone	Kono	Kono
EM_076334	KR817146	2014-10-23	Subsaharan Africa	Guinea	Kerouane	Kerouane
J0020	KP759755	2014-09-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G4350.1	KR105242	2014-07-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_075368	KR817131	2014-08-29	Subsaharan Africa	Guinea	Macenta	Macenta
14521_EMLK	KU296755	2015-02-13	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR0115	KT725254	2014-11-10	Subsaharan Africa	Liberia	Grand Bassa	Grand Bassa
PL7820	KU296804	2015-06-09	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20140590	KR653278	2014-09-07	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20143918	KR653240	2014-11-06	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10136	KT725263	2014-09-09	Subsaharan Africa	Liberia	Liberia	Liberia
EM_074785	KR817126	2014-08-16	Subsaharan Africa	Guinea	Macenta	Macenta
V20144521	KR653271	2014-11-12	Subsaharan Africa	Sierra Leone	Kono	Kono
KT5486	KU296680	2015-02-27	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK2790	KU296452	2015-03-07	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_075932	KR817139	2014-10-10	Subsaharan Africa	Guinea	Macenta	Macenta
V509	KR534508	2014-07-24	Subsaharan Africa	Guinea	Conakry	Conakry
MK2449	KU296466	2015-02-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
77525_EMLK	KU296820	2014-12-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
14846_EMLK	KU296831	2015-04-29	Subsaharan Africa	Sierra Leone	Kambia	Kambia
REDC_GUI_2015_00576	REDC_GUI_2015_00576	2015-07-17	Subsaharan Africa	Guinea	Conakry	Conakry
EM_078415	KR817160	2014-11-24	Subsaharan Africa	Guinea	Faranah	Faranah
PL4347	KU296720	2015-03-04	Subsaharan Africa	Sierra Leone	Kambia	Kambia
634_EMLH	KU296799	2015-02-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004414	KR817096	2015-01-02	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
PL7511	KU296685	2015-06-01	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_080064	KR817231	2014-06-20	Subsaharan Africa	Liberia	Lofa	Lofa
V1128	KR534580	2014-09-25	Subsaharan Africa	Guinea	Conakry	Conakry
J0116	KP759664	2014-10-30	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
V20141232	KR653266	2014-09-25	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
J0137	KP759685	2014-11-01	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10210	KT725321	2014-09-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
J0133	KP759681	2014-10-31	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK2788	KU296573	2015-03-07	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0113	KP759662	2014-10-30	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
KG91	KG91	2015-06-20	Subsaharan Africa	Guinea	Boke	Boke
DML12458	KT357823	2015-03-28	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
DML14366	KT357859	2015-07-11	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK2342	KU296347	2015-02-24	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0041	KP759710	2014-10-04	Subsaharan Africa	Sierra Leone	Western Area	Western Area
G3769	KM233065	2014-06-12	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0021	KP759756	2014-09-29	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V20143031	KR653275	2014-10-25	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
12936_EMLH	KU296561	2015-05-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK0865	KU296500	2015-01-05	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0134	KP759682	2014-10-31	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G4437.1	KR105255	2014-07-20	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20142477	KR653255	2014-10-19	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
CON12930	CON12930	2015-10-13	Subsaharan Africa	Guinea	Conakry	Conakry
J0069	KP759733	2014-10-09	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_004290	KR817095	2014-12-27	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
V20143458	KR653245	2014-11-01	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
20547_EMLK	KU296455	2015-09-07	Subsaharan Africa	Sierra Leone	Kambia	Kambia
77589_EMLK	KU296403	2015-01-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
77612_EMLK	KU296636	2015-01-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3817	KM233091	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR0707	KT725366	2014-12-29	Subsaharan Africa	Liberia	Montserrado	Montserrado
G4389.1	KR105245	2014-07-16	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK2983	KU296393	2015-03-12	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0158	KP759700	2014-11-08	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK0889	KU296794	2015-01-06	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V20140161	KR653265	2014-08-27	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
PL7604	KU296592	2015-06-04	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_079497	KR817196	2014-04-07	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
Makona-201403261	KP240932	2014-09-26	Subsaharan Africa	Liberia	Liberia	Liberia
G4736.1	KR105269	2014-08-05	Subsaharan Africa	Sierra Leone	Kenema	Kenema
LIBR1413	KR006962	2015-02-14	Subsaharan Africa	Liberia	Montserrado	Montserrado
V20141280	KR653276	2014-09-23	Subsaharan Africa	Sierra Leone	Kambia	Kambia
MK10128	KU296502	2015-07-31	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
MK0363	KU296545	2014-12-21	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL5803	KU296795	2015-04-04	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_079408	KR817181	2014-03-31	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
G3679	KM034558	2014-05-28	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G4465.1	KR105259	2014-08-05	Subsaharan Africa	Sierra Leone	Kenema	Kenema
DML12485	KT357824	2015-03-31	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004503	KR817102	2015-01-15	Subsaharan Africa	Guinea	Faranah	Faranah
V20142551	KR653226	2014-10-23	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
14795_EMLK	KU296737	2015-04-25	Subsaharan Africa	Sierra Leone	Kambia	Kambia
PL6049	KU296743	2015-04-11	Subsaharan Africa	Sierra Leone	Kambia	Kambia
V1129	KR534581	2014-09-25	Subsaharan Africa	Guinea	Conakry	Conakry
EM_COY_2015_017135	EM_COY_2015_017135	2015-05-29	Subsaharan Africa	Guinea	Dubreka	Dubreka
PL6086	KU296651	2015-04-12	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G3809	KM233086	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
77591_EMLK	KU296836	2015-01-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
468_EMLH	KU296773	2015-01-29	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK0531	KU296448	2014-12-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
15327_EMLK	KU296649	2015-06-07	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_COY_2015_016238	EM_COY_2015_016238	2015-05-03	Subsaharan Africa	Guinea	Forecariah	Forecariah
V20143716	KR653292	2014-11-04	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
MK0364	KU296453	2014-12-21	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_COY_2015_016531	EM_COY_2015_016531	2015-05-14	Subsaharan Africa	Guinea	Dubreka	Dubreka
V1043	KR534527	2014-09-19	Subsaharan Africa	Guinea	Conakry	Conakry
V20141643	KR653233	2014-10-04	Subsaharan Africa	Sierra Leone	Pujehun	Pujehun
J0142	KP759690	2014-11-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
75711_EMLH	KU296596	2015-01-15	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10172	KT725289	2014-09-01	Subsaharan Africa	Liberia	Liberia	Liberia
MK2673	KU296749	2015-03-03	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR0079	KT725274	2014-11-07	Subsaharan Africa	Liberia	Montserrado	Montserrado
LIBR10179	KT725375	2014-10-11	Subsaharan Africa	Liberia	Montserrado	Montserrado
G4725.1	KR105267	2014-08-04	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
G4235.1	KR105220	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0068	KP759732	2014-10-09	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
LIBR10086	KT725381	2014-08-26	Subsaharan Africa	Liberia	Margibi	Margibi
LIBR10267	KT725374	2014-10-05	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_074350	KR817109	2014-07-22	Subsaharan Africa	Liberia	Lofa	Lofa
LIBR10205	KT725351	2014-09-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
G3805	KM233082	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0156	KP759698	2014-11-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G5059.1	KR105296	2014-08-18	Subsaharan Africa	Sierra Leone	Kenema	Kenema
G4348.1	KR105241	2014-07-09	Subsaharan Africa	Sierra Leone	Kenema	Kenema
J0064	KP759728	2014-10-09	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_078555	KR817162	2014-12-01	Subsaharan Africa	Guinea	Faranah	Faranah
PL4248	KU296658	2015-03-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_080265	KR817244	2014-07-12	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR0380	KT725290	2014-11-28	Subsaharan Africa	Liberia	Montserrado	Montserrado
G4972.1	KR105285	2014-08-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
12855_EMLH	KU296723	2015-04-15	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0144	KP759605	2014-11-04	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G3857	KM233115	2014-06-18	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V657	KR534515	2014-08-16	Subsaharan Africa	Guinea	Conakry	Conakry
G4683.1	KR105262	2014-08-01	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
592_EMLH	KU296447	2015-02-05	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3816	KM233090	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V20145853	KR653290	2014-11-26	Subsaharan Africa	Sierra Leone	Pujehun	Pujehun
G5986.1	KR105335	2014-09-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL4105	KU296694	2015-02-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_COY_2015_016515	EM_COY_2015_016515	2015-05-14	Subsaharan Africa	Guinea	Dubreka	Dubreka
EM_074462	KR817121	2014-08-04	?	?	?	?
PL8630	KU296325	2015-06-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10218	KT725284	2014-09-29	Subsaharan Africa	Liberia	Liberia	Liberia
EM_079444	KR817193	2014-04-02	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
G3670	KM034553	2014-05-27	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_000968	KR817085	2014-10-01	Subsaharan Africa	Guinea	Macenta	Macenta
J0002	KP759640	2014-09-27	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10271	KT725347	2014-08-26	Subsaharan Africa	Liberia	Liberia	Liberia
EM_COY_2015_017021	EM_COY_2015_017021	2015-05-25	Subsaharan Africa	Guinea	Fria	Fria
G3949.1	KR105209	2014-06-24	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
